year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1940,SD,015,M,Robert,James,Richard,Larry,John,Gary,Donald,Dennis,Ronald,David,256,234,202,194,175,154,147,143,135,128
1940,NE,016,M,Robert,Larry,James,Richard,John,Gary,Donald,Ronald,William,Jerry,517,476,422,409,375,355,310,287,254,202
1940,KS,017,M,Larry,Robert,James,John,Gary,Richard,Donald,William,Charles,Ronald,714,621,554,553,509,461,368,362,355,317
1940,OK,018,M,James,Jerry,Robert,John,Charles,Donald,William,Billy,David,Larry,1090,799,730,709,700,627,521,480,437,396
1940,TX,019,M,James,Robert,John,Charles,William,Jerry,Joe,David,Billy,Richard,2972,2150,2110,1843,1549,1401,1260,1084,1079,967
1940,MN,020,M,Robert,James,Richard,John,David,William,Gary,Donald,Thomas,Ronald,1314,1276,1151,1129,988,654,637,628,615,607
1940,IA,021,M,Robert,Larry,James,Richard,John,Gary,David,Ronald,Donald,William,1095,1078,1077,931,879,719,682,671,584,537
1940,MO,022,M,James,Robert,John,William,Charles,Larry,Donald,Richard,David,Ronald,1683,1474,1322,1098,1056,877,860,855,732,685
1940,AR,023,M,James,Charles,John,Robert,William,Billy,Jerry,Bobby,Donald,Jimmy,1473,768,706,692,646,546,531,472,370,362
1940,LA,024,M,James,John,Robert,Charles,Joseph,William,Willie,Donald,George,Richard,1166,940,795,736,715,528,390,356,341,340
1940,WI,025,M,Robert,James,John,Richard,Thomas,David,William,Ronald,Donald,Gerald,1576,1552,1318,1255,909,903,879,728,726,577
1940,MI,026,M,Robert,James,John,Richard,William,David,Thomas,Ronald,Donald,Charles,2944,2487,2136,2039,1758,1625,1309,1273,1171,1114
1940,IL,027,M,Robert,James,John,Richard,William,Ronald,Charles,Thomas,Donald,David,3842,3265,3251,2513,2496,1749,1576,1567,1471,1470
1940,IN,028,M,James,Robert,John,Larry,William,Richard,David,Charles,Jerry,Donald,1724,1537,1399,1303,1146,1102,1083,919,849,801
1940,OH,029,M,Robert,James,John,William,Richard,David,Charles,Thomas,Ronald,Donald,3442,3289,2924,2408,2325,1961,1585,1541,1485,1424
1940,KY,030,M,James,William,Robert,Charles,John,Donald,David,Billy,Bobby,Jerry,2237,1358,1161,1128,953,774,541,531,500,478
1940,TN,031,M,James,William,Robert,Charles,John,Billy,Jerry,Bobby,Thomas,David,2409,1304,1265,1177,1034,746,688,658,561,538
1940,MS,032,M,James,Robert,John,Charles,Willie,William,George,Billy,Thomas,Bobby,1781,1026,916,853,823,807,417,401,390,387
1940,AL,033,M,James,John,William,Robert,Charles,Willie,Billy,Jerry,Bobby,Thomas,2283,1265,1261,1199,1078,860,614,558,516,501
1940,ME,034,M,Robert,Richard,John,David,James,William,Donald,Ronald,George,Paul,442,388,285,258,206,179,177,139,137,134
1940,VT,035,M,Richard,Robert,John,David,James,William,Ronald,Donald,Charles,Kenneth,186,180,147,108,105,103,70,62,56,54
1940,NH,036,M,Robert,Richard,John,David,William,Donald,James,Ronald,Paul,George,306,266,174,159,137,119,113,111,100,87
1940,NY,037,M,Robert,John,Richard,William,James,Joseph,Thomas,David,Michael,Charles,6283,6165,4370,4105,3960,3141,2505,2340,2294,2147
1940,MA,038,M,Robert,John,Richard,William,James,David,Paul,Joseph,Thomas,Edward,2641,2387,1981,1615,1314,1162,1009,987,826,776
1940,CT,039,M,Robert,John,Richard,William,Joseph,James,David,Thomas,Edward,Donald,948,821,719,578,416,415,368,320,280,260
1940,RI,040,M,Robert,Richard,John,William,Joseph,James,Edward,Thomas,Ronald,David,430,303,281,225,182,175,138,133,127,117
1940,PA,041,M,Robert,John,William,James,Richard,Joseph,Thomas,Charles,Ronald,David,5351,5253,4126,4108,3218,2660,2370,2348,2208,2001
1940,NJ,042,M,Robert,John,William,Richard,James,Joseph,Thomas,Charles,George,Edward,2168,2089,1469,1257,1134,1106,845,765,681,671
1940,DE,043,M,William,Robert,John,James,Charles,Richard,Joseph,George,Thomas,Donald,142,137,128,124,85,84,67,59,55,47
1940,MD,044,M,William,Robert,John,James,Charles,Richard,George,Joseph,Thomas,Donald,870,868,867,828,683,478,359,358,346,286
1940,WV,045,M,James,Robert,William,Charles,John,Donald,David,Richard,Larry,Thomas,1331,973,896,825,797,466,459,459,437,405
1940,VA,046,M,James,William,Robert,John,Charles,Richard,Thomas,George,David,Donald,1792,1393,1187,1080,874,554,553,547,431,370
1940,NC,047,M,James,William,Robert,John,Charles,Jerry,Thomas,Bobby,David,George,3065,1902,1531,1456,1260,745,725,722,693,657
1940,SC,048,M,James,John,William,Robert,Willie,Charles,Thomas,George,David,Joseph,1926,1071,942,907,646,640,482,412,410,320
1940,GA,049,M,James,William,Robert,John,Charles,Willie,Thomas,George,Bobby,Jerry,2413,1415,1346,1280,1062,1030,586,576,534,488
1940,DC,050,M,John,Robert,James,William,Charles,Richard,George,Thomas,David,Joseph,472,465,437,419,262,231,172,168,155,154
