year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1950,NH,36,F,Linda,Susan,Patricia,Donna,Nancy,Mary,Kathleen,Carol,Diane,Sandra,275,202,157,137,137,135,128,115,114,112
1950,NY,37,F,Linda,Patricia,Mary,Barbara,Susan,Kathleen,Carol,Nancy,Deborah,Karen,6044,4761,4740,4339,4148,3162,2677,2632,2450,2201
1950,MA,38,F,Linda,Mary,Susan,Patricia,Kathleen,Nancy,Donna,Barbara,Deborah,Carol,2109,1711,1660,1493,1372,1156,1097,1020,947,923
1950,CT,39,F,Linda,Susan,Patricia,Mary,Barbara,Kathleen,Nancy,Deborah,Donna,Carol,888,677,657,614,539,512,462,451,395,377
1950,RI,40,F,Linda,Susan,Patricia,Mary,Kathleen,Donna,Nancy,Barbara,Deborah,Carol,395,256,244,226,207,195,194,187,183,179
1950,PA,41,F,Linda,Mary,Patricia,Barbara,Susan,Kathleen,Carol,Nancy,Deborah,Karen,5278,4074,3403,3051,2897,2419,2343,2108,2011,1933
1950,NJ,42,F,Linda,Patricia,Barbara,Mary,Susan,Kathleen,Nancy,Carol,Karen,Diane,2160,1769,1554,1333,1296,1242,980,897,793,741
1950,DE,43,F,Linda,Mary,Patricia,Barbara,Sharon,Deborah,Susan,Carol,Nancy,Diane,169,149,120,118,92,85,78,74,68,57
1950,MD,44,F,Linda,Mary,Patricia,Barbara,Deborah,Sharon,Susan,Sandra,Nancy,Carol,1180,1028,852,771,614,586,482,464,456,343
1950,WV,45,F,Linda,Mary,Brenda,Patricia,Sharon,Barbara,Sandra,Deborah,Nancy,Karen,1379,889,736,665,602,595,564,471,441,429
1950,VA,46,F,Linda,Mary,Brenda,Patricia,Barbara,Sandra,Carolyn,Nancy,Deborah,Betty,1910,1449,1133,1106,909,751,662,627,613,583
1950,NC,47,F,Linda,Mary,Brenda,Patricia,Barbara,Carolyn,Sandra,Betty,Judy,Shirley,2343,2033,1604,1356,1179,913,868,840,811,771
1950,SC,48,F,Mary,Linda,Barbara,Patricia,Betty,Brenda,Shirley,Sandra,Carolyn,Nancy,1455,1005,724,709,606,582,533,506,429,381
1950,GA,49,F,Mary,Linda,Patricia,Brenda,Barbara,Betty,Sandra,Shirley,Deborah,Judy,2064,1889,1271,1119,1051,848,797,720,621,620
1950,DC,50,F,Linda,Mary,Patricia,Barbara,Susan,Deborah,Sharon,Kathleen,Nancy,Diane,530,519,434,340,278,277,241,206,196,191
1950,FL,51,F,Linda,Mary,Patricia,Barbara,Sandra,Susan,Deborah,Brenda,Shirley,Nancy,1482,1156,1019,788,522,494,493,461,455,441
1960,HI,1,F,Susan,Donna,Karen,Sandra,Lisa,Lori,Linda,Mary,Cynthia,Laurie,150,134,115,115,111,105,92,82,78,78
1960,AK,2,F,Mary,Linda,Karen,Debra,Susan,Elizabeth,Sandra,Patricia,Donna,Cindy,79,56,53,50,50,47,47,43,42,40
1960,WA,3,F,Susan,Mary,Karen,Lisa,Linda,Julie,Lori,Teresa,Debra,Patricia,642,549,528,514,513,476,471,384,383,338
1960,OR,4,F,Susan,Mary,Linda,Lisa,Karen,Lori,Julie,Debbie,Cindy,Debra,380,323,318,312,305,300,292,261,252,249
1960,CA,5,F,Karen,Susan,Lisa,Mary,Linda,Cynthia,Patricia,Sandra,Debra,Lori,3168,3145,3117,3102,2882,2332,2319,2100,2015,2001
1960,ID,6,F,Lori,Linda,Mary,Julie,Teresa,Cindy,Brenda,Susan,Karen,Lisa,153,134,121,119,116,112,111,110,105,95
1960,NV,7,F,Lisa,Linda,Mary,Teresa,Karen,Brenda,Susan,Donna,Patricia,Lori,66,53,50,49,48,47,44,43,43,41
1960,MT,8,F,Mary,Lori,Susan,Karen,Linda,Julie,Debra,Cindy,Brenda,Lisa,191,162,139,113,112,110,98,95,90,88
1960,WY,9,F,Mary,Brenda,Susan,Linda,Lori,Karen,Debra,Lisa,Tammy,Cindy,84,67,66,57,57,55,52,51,46,45
1960,UT,10,F,Julie,Lori,Susan,Cindy,Lisa,Linda,Karen,Mary,Debbie,Kathy,261,235,233,224,215,183,159,148,142,135
1960,AZ,11,F,Mary,Lisa,Patricia,Linda,Susan,Sandra,Debbie,Karen,Deborah,Debra,410,251,245,241,213,205,199,199,185,184
1960,CO,12,F,Mary,Karen,Susan,Linda,Lisa,Debbie,Debra,Cynthia,Patricia,Sandra,438,371,352,351,314,308,278,273,265,254
1960,NM,13,F,Mary,Linda,Sandra,Donna,Karen,Patricia,Debbie,Elizabeth,Susan,Cynthia,342,216,197,186,186,180,178,171,170,159
1960,ND,14,F,Mary,Susan,Lori,Julie,Karen,Brenda,Linda,Pamela,Nancy,Sandra,202,155,148,146,134,126,121,105,96,95
1960,SD,15,F,Mary,Lori,Julie,Susan,Linda,Brenda,Debra,Barbara,Karen,Donna,216,172,161,149,141,125,124,119,118,113
1960,NE,16,F,Mary,Susan,Lori,Linda,Debra,Julie,Karen,Pamela,Diane,Nancy,452,358,313,297,272,266,257,229,215,215
1960,KS,17,F,Mary,Brenda,Susan,Debra,Linda,Karen,Lisa,Cynthia,Pamela,Teresa,513,447,436,404,382,379,362,318,304,302
1960,OK,18,F,Mary,Lisa,Donna,Linda,Brenda,Susan,Karen,Teresa,Debra,Pamela,469,435,422,412,402,345,339,334,315,304
1960,TX,19,F,Mary,Cynthia,Maria,Linda,Lisa,Donna,Sandra,Patricia,Karen,Debra,2769,1982,1946,1938,1736,1692,1675,1658,1621,1473
1960,MN,20,F,Mary,Susan,Julie,Lori,Karen,Linda,Nancy,Debra,Lisa,Barbara,1468,1029,950,895,728,699,661,648,617,580
1960,IA,21,F,Mary,Lori,Julie,Susan,Lisa,Linda,Debra,Brenda,Karen,Kimberly,789,739,685,657,574,566,506,494,488,440
1960,MO,22,F,Mary,Karen,Linda,Lisa,Susan,Donna,Patricia,Brenda,Pamela,Teresa,1350,961,919,872,845,788,724,708,623,613
1960,AR,23,F,Mary,Linda,Donna,Brenda,Lisa,Karen,Patricia,Sandra,Debra,Cynthia,478,415,403,378,359,343,312,297,294,278
1960,LA,24,F,Mary,Donna,Cynthia,Linda,Lisa,Patricia,Karen,Brenda,Sandra,Debra,1087,756,750,720,712,699,656,617,614,610
1960,WI,25,F,Mary,Susan,Lori,Julie,Linda,Debra,Karen,Barbara,Diane,Lisa,1792,1351,1038,962,962,902,884,739,681,675
1960,MI,26,F,Mary,Karen,Susan,Linda,Patricia,Lori,Lisa,Debra,Kimberly,Nancy,2517,2019,1974,1820,1370,1300,1293,1233,1220,1203
1960,IL,27,F,Mary,Susan,Karen,Linda,Patricia,Donna,Debra,Lisa,Cynthia,Laura,3570,2462,2202,2173,1983,1679,1650,1580,1535,1499
1960,IN,28,F,Mary,Lisa,Karen,Susan,Linda,Brenda,Debra,Donna,Kimberly,Teresa,1257,1147,1065,965,888,850,817,789,779,754
1960,OH,29,F,Mary,Karen,Susan,Lisa,Linda,Kimberly,Brenda,Patricia,Deborah,Pamela,2904,2195,2095,2068,1992,1756,1551,1537,1502,1471
1960,KY,30,F,Mary,Donna,Lisa,Karen,Teresa,Linda,Pamela,Brenda,Kathy,Patricia,997,772,756,657,618,614,591,558,548,513
1960,TN,31,F,Mary,Donna,Lisa,Teresa,Pamela,Linda,Karen,Brenda,Deborah,Patricia,907,858,855,817,671,669,666,648,623,613
1960,MS,32,F,Mary,Linda,Brenda,Patricia,Sandra,Barbara,Cynthia,Donna,Shirley,Debra,939,776,555,542,466,409,397,393,371,356
1960,AL,33,F,Mary,Donna,Linda,Cynthia,Brenda,Lisa,Patricia,Debra,Teresa,Pamela,981,784,727,723,650,615,615,565,551,539
1960,ME,34,F,Susan,Linda,Brenda,Karen,Donna,Lisa,Mary,Debra,Cynthia,Patricia,280,227,224,221,220,218,210,205,165,163
1960,VT,35,F,Susan,Mary,Donna,Karen,Linda,Lisa,Laurie,Debra,Deborah,Patricia,131,102,90,88,87,81,76,68,62,62
1960,NH,36,F,Susan,Donna,Linda,Lisa,Karen,Debra,Mary,Diane,Deborah,Cheryl,187,183,154,147,144,121,119,110,109,94
1960,NY,37,F,Mary,Susan,Patricia,Donna,Linda,Karen,Lisa,Nancy,Barbara,Elizabeth,4632,4279,3543,3525,3200,3195,2821,2643,2589,2430
1960,MA,38,F,Susan,Mary,Donna,Karen,Linda,Patricia,Lisa,Kathleen,Nancy,Deborah,1846,1694,1581,1380,1306,1240,1235,1063,1035,936
